timestamp,Open,High,Low,Close,Volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2017-08-17,301.13,312.18,298.0,302.0,7030.71034,1503014399999.0,2154655.3003566,4522.0,6224.58999,1908705.3685302,50579.87228839
2017-08-18,302.0,311.79,283.94,293.96,9537.84646,1503100799999.0,2858946.5093539,5658.0,7452.43542,2240813.2612264,55329.57432378
2017-08-19,293.31,299.9,278.0,290.91,2146.19773,1503187199999.0,620022.5898617,1795.0,1537.9755,444713.6122086,58005.17104565
2017-08-20,289.41,300.53,282.85,299.1,2510.13871,1503273599999.0,742847.8945599,2038.0,2186.68739,647506.0620205,60299.06615403
2017-08-21,299.1,346.52,294.6,323.29,5219.44542,1503359999999.0,1689472.341214,3925.0,4004.19967,1297977.4231142,66203.84022245
2017-08-22,321.04,330.41,144.21,309.8,7956.35088,1503446399999.0,2454425.8033137,6577.0,4433.78132,1364472.488333,66821.52067468
2017-08-23,312.25,324.99,309.41,315.74,8665.72569,1503532799999.0,2753464.9450408,8540.0,2282.23633,728206.9176149,76587.70953099
2017-08-24,315.74,328.04,314.01,323.42,6753.27192,1503619199999.0,2159417.1141537,6495.0,1901.90029,610929.1471679,102226.34289434
2017-08-25,323.42,338.28,323.42,327.24,7125.96962,1503705599999.0,2354162.038294,7452.0,2595.82561,859314.6835184,106332.85796088
2017-08-26,327.24,335.44,323.41,330.79,4877.68521,1503791999999.0,1601994.3773166,4400.0,941.99655,311132.2631003,92462.65806951
2017-08-27,332.18,348.13,330.73,348.13,4635.43715,1503878399999.0,1554477.3581603,4973.0,1166.20029,392130.1151986,88406.05374074
2017-08-28,348.11,351.0,331.95,346.0,4279.1817,1503964799999.0,1463758.1691041,4526.0,1114.26279,383473.9889103,82902.92984582
2017-08-29,347.0,377.6,346.0,374.7,3032.13425,1504051199999.0,1102069.6205809,3265.0,923.16784,334768.8104693,85024.5447343
2017-08-30,374.7,393.71,362.05,385.93,4446.59608,1504137599999.0,1679526.2125115,4812.0,1285.37799,487837.7447577,84593.83335425
2017-08-31,384.64,389.36,377.78,384.79,4435.86855,1504223999999.0,1704441.3942666,4574.0,1432.19381,550808.610884,82026.24194321
2017-09-01,386.44,394.39,383.18,388.46,4198.68434,1504310399999.0,1635227.6137661,4124.0,1564.05531,609630.9497713,84919.76768269
2017-09-02,388.58,394.32,320.08,343.14,8240.32724,1504396799999.0,2904008.4613861,8217.0,2460.66776,868487.2833919,87519.78442451
2017-09-03,343.56,367.28,320.08,341.77,5253.62211,1504483199999.0,1801702.6178029,6153.0,2240.91753,767938.2521776,88087.12404857
2017-09-04,339.29,344.55,267.94,283.77,6737.81061,1504569599999.0,2002446.181802,7403.0,2954.16805,877011.1066647,77119.81932553
2017-09-05,286.81,321.52,235.55,312.09,8344.41924,1504655999999.0,2397490.9178386,8999.0,4312.97282,1251958.9913116,82323.90789166
2017-09-06,313.29,336.34,312.09,335.0,5486.30988,1504742399999.0,1793962.8584994,7089.0,2183.65363,713126.1017199,84763.06977404
2017-09-07,335.01,342.5,320.17,334.49,3103.89745,1504828799999.0,1027135.6869524,2635.0,1321.09841,438034.1732964,82526.80962161
2017-09-08,334.49,335.1,272.0,302.99,4915.75693,1504915199999.0,1494309.8866163,3227.0,2306.94838,698362.8493954,79848.59094656
2017-09-09,300.01,307.0,281.66,296.74,2740.58822,1505001599999.0,813750.3589359,1956.0,1755.91508,520754.9145735,74712.70835115
2017-09-10,296.72,302.78,261.03,293.5,4156.45099,1505087999999.0,1181903.7721999,2494.0,2282.40311,651266.4580305,72108.07698301
2017-09-11,293.51,304.98,285.21,297.3,4829.64647,1505174399999.0,1436811.8161569,3490.0,2412.24221,718382.7521632,70010.65222023
2017-09-12,297.78,316.46,286.01,293.96,5176.31402,1505260799999.0,1573452.4124519,5279.0,2207.60465,671349.2542697,70070.60153339
2017-09-13,293.93,294.5,257.05,276.91,6451.22836,1505347199999.0,1761080.8976069,4527.0,3264.55673,890399.3695974,67083.5424068
2017-09-14,275.76,283.77,215.0,215.21,12601.95676,1505433599999.0,3110767.7805647,8166.0,4455.23882,1100931.1454267,67291.11800887
2017-09-15,217.0,270.93,192.0,253.0,14223.8953,1505519999999.0,3319311.826735,9198.0,5945.8076,1386660.0368027,64252.91009631
2017-09-16,255.99,271.81,235.51,249.31,10362.06011,1505606399999.0,2647152.3723708,8859.0,3866.60141,995005.3267045,63644.31507206
2017-09-17,249.32,264.39,239.02,257.55,4614.53337,1505692799999.0,1149704.2949294,5277.0,1442.00382,360268.4738608,61101.13737514
2017-09-18,257.53,306.22,257.11,294.57,4125.97051,1505779199999.0,1182937.633574,3440.0,2342.68408,669740.5214988,60397.47132269
2017-09-19,296.0,300.0,277.41,284.0,1869.90852,1505865599999.0,535773.5652001,1896.0,789.82937,226839.7065421,60344.7395528
2017-09-20,284.01,294.0,275.91,282.0,1060.56734,1505951999999.0,302739.7337531,1431.0,566.64637,162290.4185872,60239.65020019
2017-09-21,285.1,287.0,252.1,257.0,1912.55583,1506038399999.0,516193.1970608,2751.0,579.77742,156157.9954675,60609.52923576
2017-09-22,258.0,272.97,253.01,264.0,1464.5125,1506124799999.0,382962.217943,2144.0,612.61937,160401.2878139,63316.93684299
2017-09-23,259.99,286.23,255.11,285.93,2824.33572,1506211199999.0,788810.3244239,3901.0,841.43467,233418.256899,62508.86990743
2017-09-24,286.5,294.61,275.0,282.0,5575.54422,1506297599999.0,1582877.4871329,8022.0,1314.52754,373569.556758,62729.13499539
2017-09-25,282.0,299.0,281.34,294.42,5870.48035,1506383999999.0,1705551.9921018,9165.0,1950.58866,567363.4490881,64184.33111866
2017-09-26,294.42,296.81,286.24,287.9,4566.92804,1506470399999.0,1332125.1654396,7329.0,1073.93969,313528.6412562,71142.64377362
2017-09-27,289.91,313.0,286.13,309.74,5518.10382,1506556799999.0,1641896.8743651,8208.0,1276.45702,380606.4657897,74084.8877869
2017-09-28,309.81,311.81,296.89,302.44,6600.90922,1506643199999.0,2009233.8887105,10534.0,2210.54916,674345.9209191,82349.71463412
2017-09-29,302.44,303.0,274.0,292.22,11089.19902,1506729599999.0,3213725.0903979,13098.0,5176.62946,1501566.8615152,81911.33521906
2017-09-30,292.62,307.49,292.22,304.36,4020.60795,1506815999999.0,1214456.8380462,8168.0,1645.11941,497660.508059,88439.42297005
2017-10-01,305.13,306.0,294.0,303.95,5060.05758,1506902399999.0,1518988.30299,8900.0,1496.73509,449595.1195591,96631.95210275
2017-10-02,303.94,305.0,295.0,296.5,3710.83747,1506988799999.0,1116501.2248122,7454.0,1398.52021,421273.0243823,99017.43727554
2017-10-03,298.15,301.99,283.18,292.48,5546.85702,1507075199999.0,1622460.7267746,9327.0,2105.27684,616540.7336968,92956.98811034
2017-10-04,292.47,297.97,288.0,291.99,4014.88792,1507161599999.0,1176260.2171869,7233.0,2030.795,596758.0568808,91864.85861871
2017-10-05,290.0,297.44,285.53,294.81,3412.39016,1507247999999.0,994768.4954065,6125.0,1684.82069,492521.5792853,93082.83738569
2017-10-06,294.78,310.8,293.78,310.8,3541.02359,1507334399999.0,1063779.3539251,6064.0,1965.17959,590729.7618607,94556.00390113
2017-10-07,309.9,318.5,303.6,311.01,2165.79076,1507420799999.0,672026.6685328,4289.0,1031.34817,320575.6411122,95683.00059248
2017-10-08,311.08,317.07,309.0,311.07,2960.93198,1507507199999.0,923989.787554,6247.0,1069.23508,334539.357012,96050.49409454
2017-10-09,311.13,312.13,286.65,297.19,4885.37863,1507593599999.0,1462524.6249531,8680.0,1575.93338,472759.5852128,96362.85524303
2017-10-10,297.35,308.56,293.0,298.64,6749.27468,1507679999999.0,2028540.4729273,9392.0,3979.8636,1200692.0389299,99012.020976
2017-10-11,300.88,305.5,298.02,304.01,3724.6863,1507766399999.0,1125331.5033572,4079.0,1923.79902,581977.2978289,100696.50159612
2017-10-12,304.01,310.0,302.71,303.99,7827.75596,1507852799999.0,2397065.1633671,4956.0,3436.20226,1053317.9715572,98285.65411766
2017-10-13,303.52,353.96,297.0,337.96,17925.36585,1507939199999.0,5832987.2559101,9898.0,7538.17104,2469530.2629596,108307.77799359
2017-10-14,337.96,349.8,335.0,342.0,7731.96469,1508025599999.0,2655702.1145455,5703.0,3790.50687,1304246.7919927,111142.4834725
2017-10-15,342.0,348.0,316.17,337.96,10011.34708,1508111999999.0,3326752.5971166,6822.0,4957.44824,1652285.7219957,111022.00575221
2017-10-16,337.5,354.0,332.78,335.19,8663.47097,1508198399999.0,2956522.0417874,6586.0,4424.03339,1511172.9129401,113985.11169272
2017-10-17,335.18,336.58,312.65,315.19,8146.74356,1508284799999.0,2638150.8892904,6837.0,3297.06736,1069520.4162513,121257.7325803
2017-10-18,315.19,318.0,284.68,309.7,12908.0454,1508371199999.0,3915770.1544675,9801.0,6592.08304,2005598.3141489,123470.94593511
2017-10-19,311.52,315.0,300.0,308.66,8678.74739,1508457599999.0,2675399.8602425,6769.0,4110.58984,1269506.2481589,124127.45839721
2017-10-20,308.66,311.18,302.0,304.51,8739.31764,1508543999999.0,2667391.8997551,6812.0,3042.73881,932164.5043713,123882.13026971
2017-10-21,304.51,305.34,290.0,298.94,8591.63121,1508630399999.0,2558677.4115428,6343.0,4286.76965,1278052.9283119,123127.52882388
2017-10-22,298.99,306.99,290.0,293.79,7173.06893,1508716799999.0,2120546.5470225,5828.0,3305.51785,977321.1430991,121760.76341013
2017-10-23,293.78,294.6,272.2,281.09,9658.78404,1508803199999.0,2743010.9877028,6524.0,5255.49466,1493898.2383324,125082.04163325
2017-10-24,282.27,310.0,275.5,297.38,14066.67924,1508889599999.0,4253110.3195806,8026.0,8185.36518,2480346.5383804,126854.43540945
2017-10-25,295.43,300.0,281.0,294.49,9703.09261,1508975999999.0,2840747.3846263,6796.0,4062.96246,1191187.6521059,125542.11511266
2017-10-26,294.1,299.76,291.03,294.71,7813.02717,1509062399999.0,2306446.3337328,6557.0,3502.44576,1034906.2906169,125015.67905729
2017-10-27,294.72,298.1,292.03,296.33,6272.14802,1509148799999.0,1852704.4161056,5899.0,2478.34843,733169.1511911,124973.01333668
2017-10-28,296.14,297.0,290.1,291.87,5848.86589,1509235199999.0,1715796.7941936,5589.0,2343.52663,688114.5248454,125258.48079811
2017-10-29,291.86,309.4,291.86,305.0,9019.13315,1509321599999.0,2716332.8153886,6947.0,3673.09724,1108293.788686,125571.89318978
2017-10-30,305.0,316.0,302.1,307.25,8946.12026,1509407999999.0,2751568.6365363,6421.0,4751.89487,1464093.3140304,131298.78341356
2017-10-31,305.95,309.99,304.01,304.9,7640.41182,1509494399999.0,2347542.8648317,7744.0,3070.74748,944596.8343661,132027.26666399
2017-11-01,304.89,305.9,286.34,287.01,9843.1666,1509580799999.0,2948801.7063006,12038.0,3264.6181,981818.7579919,136742.86382963
2017-11-02,287.3,293.0,274.73,283.12,13423.8572,1509667199999.0,3810829.6596733,13600.0,4726.14435,1347012.8971022,141653.48167664
2017-11-03,283.12,307.0,282.0,304.08,8194.03465,1509753599999.0,2400297.6347816,8973.0,3439.34248,1009675.1728016,147417.10443676
2017-11-04,304.09,304.99,292.11,298.04,7828.41744,1509839999999.0,2333944.7608054,9036.0,3652.33313,1089665.5338768,149491.74328532
2017-11-05,298.1,302.14,293.13,295.53,6638.42119,1509926399999.0,1974433.013513,7513.0,3403.76089,1013349.9678548,163794.63009765
2017-11-06,295.19,305.58,290.11,297.97,7515.50103,1510012799999.0,2233482.6122626,7898.0,2768.12495,823872.9723537,157485.37350833
2017-11-07,297.25,303.52,287.0,291.78,9418.57881,1510099199999.0,2765345.5827772,8788.0,3541.77071,1041355.9371219,163370.12620204
2017-11-08,291.31,320.0,290.02,303.02,15961.85772,1510185599999.0,4839176.806813,14402.0,7621.19678,2314876.9042327,170293.23529459
2017-11-09,303.6,329.0,299.5,317.87,11151.29946,1510271999999.0,3527294.7503346,8208.0,5438.08042,1718346.8231336,182606.27147864
2017-11-10,318.5,322.65,285.82,293.5,15597.16557,1510358399999.0,4762536.5850516,9253.0,7799.9111,2384691.4816294,184373.23549784
2017-11-11,293.52,318.0,291.91,310.02,10850.16279,1510444799999.0,3282643.0277861,8646.0,5001.69556,1515726.7324973,189047.13995797
2017-11-12,310.87,316.99,281.01,305.24,21123.15319,1510531199999.0,6345603.7706789,13661.0,9589.62986,2900669.9964922,194784.51476628
2017-11-13,304.0,318.88,303.7,312.99,15551.67434,1510617599999.0,4852265.3955649,9066.0,7170.70938,2242103.2845542,193411.39559092
2017-11-14,313.0,337.54,312.94,335.61,17709.2227,1510703999999.0,5756893.4527936,11711.0,8919.59659,2901086.0739194,210416.64859479
2017-11-15,335.6,339.0,324.0,331.33,15597.16131,1510790399999.0,5178507.4572747,10036.0,7036.5064,2338129.6177232,210061.7275302
2017-11-16,330.98,334.75,321.41,331.49,14145.71696,1510876799999.0,4638262.2625835,9493.0,6014.42341,1974043.7196371,208793.34295029
2017-11-17,331.49,334.6,323.84,331.23,18042.02544,1510963199999.0,5954175.9400211,11548.0,9389.65878,3102187.4682219,204195.19355885
2017-11-18,331.2,349.9,326.01,346.66,14361.4973,1511049599999.0,4780354.335408,10690.0,7672.43904,2559237.1123193,209185.67909234
2017-11-19,346.66,373.56,343.07,354.15,19397.74898,1511135999999.0,6895884.0624029,10509.0,9931.92637,3532022.4845988,223647.70668788
2017-11-20,355.15,372.5,353.9,367.42,18277.0194,1511222399999.0,6600961.958264,11553.0,9171.44481,3318132.2571167,227357.06576793
2017-11-21,367.42,375.5,350.02,362.12,26237.64398,1511308799999.0,9556690.2312402,14762.0,12579.43792,4586895.6041716,236531.49066778
2017-11-22,362.12,384.84,359.0,380.65,18121.58484,1511395199999.0,6654403.0898495,10386.0,9745.17516,3590374.5272574,252955.66138206
2017-11-23,380.63,425.0,370.02,405.0,25409.00111,1511481599999.0,10084943.0895568,12731.0,14505.14543,5758239.6340983,268877.25536221
2017-11-24,405.03,475.0,392.8,469.0,30398.35831,1511567999999.0,13089282.2114721,15706.0,15383.97249,6660202.9646325,261817.15191048
2017-11-25,467.57,484.47,450.0,461.82,21428.63117,1511654399999.0,9958206.2564553,13282.0,9560.74839,4449274.4617491,263724.7069273
2017-11-26,461.0,465.0,436.14,462.84,21691.11759,1511740799999.0,9854650.9432016,13955.0,9455.95178,4305399.4791836,264872.45071353
2017-11-27,462.84,486.94,453.0,472.31,23761.11416,1511827199999.0,11199192.4016095,15797.0,10794.57638,5093374.5782972,260705.71717783
2017-11-28,472.32,477.5,453.5,466.17,23967.24816,1511913599999.0,11224970.9334287,12944.0,10904.08622,5113522.343179,258884.6755916
2017-11-29,466.17,515.0,385.0,421.7,51313.49571,1511999999999.0,23657537.251193,23835.0,23825.39377,11029389.6810454,259504.35194055
2017-11-30,421.92,460.0,387.01,427.43,45184.22265,1512086399999.0,19125706.0007665,22805.0,24018.42012,10172953.0960846,270225.69708239
2017-12-01,428.05,465.97,413.74,457.51,33072.21995,1512172799999.0,14471054.869735,19944.0,19043.24922,8328610.9814412,269562.18933427
2017-12-02,457.53,471.91,445.0,457.63,25796.14,1512259199999.0,11883272.7996642,18388.0,12336.59141,5685998.3052922,264122.66674083
2017-12-03,457.31,485.9,440.11,460.3,24490.05997,1512345599999.0,11436416.9241977,21404.0,12239.10293,5721801.0534579,270057.36612993
2017-12-04,460.3,470.98,445.0,466.67,23182.65949,1512431999999.0,10662508.8497644,20049.0,11708.14715,5390172.6977393,278606.01147278
2017-12-05,466.66,468.67,445.21,452.26,25387.11695,1512518399999.0,11663673.2864895,19373.0,12902.22244,5935255.777238,307810.37312273
2017-12-06,452.26,455.1,400.0,411.01,38638.76036,1512604799999.0,16767914.2566097,24522.0,16000.21644,6945785.8997376,324290.08086243
2017-12-07,413.5,427.61,375.01,406.33,41343.73269,1512691199999.0,16842079.0919012,30163.0,17174.99356,7025122.8121147,310293.1155935
2017-12-08,406.52,456.78,390.0,442.56,41064.60305,1512777599999.0,17430991.9590521,42348.0,17149.6329,7318210.6244088,317685.38202946
2017-12-09,442.56,488.0,426.4,460.0,41918.34044,1512863999999.0,19341744.4130386,35517.0,20439.87165,9429536.5339238,344943.86873932
2017-12-10,460.0,460.05,403.2,427.35,34919.25938,1512950399999.0,15125760.6157025,32416.0,15317.92712,6644966.0107937,346691.14620742
2017-12-11,427.35,512.0,427.35,508.7,29763.16644,1513036799999.0,13776239.5826501,28773.0,14163.91481,6587249.8411079,352449.85730046
2017-12-12,508.44,639.27,494.89,620.0,59387.02259,1513123199999.0,33241867.0335295,66420.0,30066.72168,16943769.8414255,396813.55146361
2017-12-13,622.0,705.69,539.93,683.99,57694.18773,1513209599999.0,36344921.4647994,55759.0,28508.57887,18035820.0508494,413062.23910461
2017-12-14,683.98,747.6,630.5,679.76,60919.26902,1513295999999.0,41882857.095261,51279.0,30685.47276,21096463.0982719,498596.7259526
2017-12-15,679.76,689.0,594.6,674.95,39778.16165,1513382399999.0,25891535.6969439,38469.0,17125.09695,11225974.5947701,469087.52809448
2017-12-16,673.75,712.0,669.22,682.81,26866.0533,1513468799999.0,18466770.7325109,25236.0,12518.18939,8621540.3507179,474585.69465775
2017-12-17,681.8,728.0,680.33,707.64,31398.4476,1513555199999.0,22242667.2153362,36094.0,16831.51917,11929457.9022288,492287.64610709
2017-12-18,707.62,798.88,638.0,784.0,45673.70777,1513641599999.0,32799947.5744694,40460.0,25894.22216,18738099.8282732,0.0
2017-12-19,784.0,864.9,729.01,798.0,69423.62125,1513727999999.0,55123972.0160901,57020.0,35335.29681,28200283.2140873,0.0
2017-12-20,798.0,828.0,661.0,790.21,72526.28416,1513814399999.0,55604509.7531012,58344.0,31819.17997,24498518.3699567,0.0
2017-12-21,794.62,845.99,705.98,782.41,78222.53998,1513900799999.0,62052521.6509025,57627.0,42391.625,33836866.1276715,0.0
2017-12-22,784.0,796.0,504.99,635.97,154630.49482,1513987199999.0,98661808.4822484,113138.0,72411.90221,46364952.4994994,0.0
2017-12-23,635.15,714.99,627.97,640.34,79001.05634,1514073599999.0,53738833.8806143,79260.0,42804.08114,29157507.58909,0.0
2017-12-24,640.33,667.64,563.49,658.0,95431.94156,1514159999999.0,59101715.1506293,108808.0,46121.82453,28654615.7197555,0.0
2017-12-25,659.4,744.0,599.99,714.95,78544.84102,1514246399999.0,55108579.6840084,86060.0,43032.9593,30201608.5770915,0.0
2017-12-26,713.12,750.0,712.56,750.0,60052.47905,1514332799999.0,44216631.9019637,78690.0,31422.6779,23139437.7568363,0.0
